name,coco_url,flick_url,id,Category,Category1,prob1,Category2,prob2,Category3,prob3,Category4,prob4,Category5,prob5
COCO_train2014_000000000009.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000000009.jpg,http://farm5.staticflickr.com/4026/4622125393_84c1fdb8d6_z.jpg,9,kitchen,bedroom,0.35177436,childs_room,0.18194413,ball_pit,0.067814976,street,0.06305812,airport_terminal,0.029222155
COCO_train2014_000000000089.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000000089.jpg,http://farm5.staticflickr.com/4062/4530436084_7d7d39892d_z.jpg,89,kitchen,living_room,0.3328809,bathroom,0.24191956,bedroom,0.103340745,kitchen,0.068793446,street,0.06560905
COCO_train2014_000000000853.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000000853.jpg,http://farm5.staticflickr.com/4020/4710854926_c5b2e8da3d_z.jpg,853,kitchen,bedroom,0.25089848,hot_tub,0.15832813,living_room,0.085501686,street,0.07429054,bathroom,0.05382838
COCO_train2014_000000001355.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000001355.jpg,http://farm4.staticflickr.com/3681/9590214137_e68966ca93_z.jpg,1355,kitchen,bathroom,0.29716834,bedroom,0.20928833,living_room,0.1775919,kitchen,0.11964531,dining_room,0.04329953
COCO_train2014_000000001386.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000001386.jpg,http://farm2.staticflickr.com/1161/1474368094_3c84d560ac_z.jpg,1386,dinning_room,bedroom,0.3224973,living_room,0.22021368,bathroom,0.08732088,dining_room,0.06750904,hot_tub,0.059950635
COCO_train2014_000000001558.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000001558.jpg,http://farm4.staticflickr.com/3654/3389738379_cedc2aab6f_z.jpg,1558,dinning_room,bathroom,0.19556786,bedroom,0.18695916,street,0.15511467,kitchen,0.08973812,dining_room,0.06746802
COCO_train2014_000000001958.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000001958.jpg,http://farm5.staticflickr.com/4064/4711543613_b76741297c_z.jpg,1958,living_room,bathroom,0.21131428,bedroom,0.17105606,conference_room,0.062299173,living_room,0.05860866,hot_tub,0.04172891
COCO_train2014_000000002270.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000002270.jpg,http://farm4.staticflickr.com/3596/3372686641_21c92af43d_z.jpg,2270,living_room,living_room,0.1993735,bedroom,0.16425766,waiting_room,0.1161253,conference_room,0.073763624,bathroom,0.07197612
COCO_train2014_000000002347.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000002347.jpg,http://farm7.staticflickr.com/6046/6209781526_3686316b50_z.jpg,2347,living_room,living_room,0.3232668,bedroom,0.2535478,bathroom,0.09965797,hot_tub,0.05870402,dining_room,0.05095427
COCO_train2014_000000002448.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000002448.jpg,http://farm9.staticflickr.com/8239/8529142479_b3371be693_z.jpg,2448,kitchen,bathroom,0.29718685,living_room,0.19843543,kitchen,0.19298835,bedroom,0.07469948,dining_room,0.034676522
COCO_train2014_000000002608.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000002608.jpg,http://farm3.staticflickr.com/2685/4437019950_2918272e92_z.jpg,2608,living_room,bedroom,0.34355778,bathroom,0.17049745,hot_tub,0.066063374,living_room,0.06260203,kitchen,0.050705034
COCO_train2014_000000003671.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000003671.jpg,http://farm9.staticflickr.com/8350/8206287956_ba471bb6b2_z.jpg,3671,dinning_room,bedroom,0.25258762,kitchen,0.12792829,living_room,0.12281619,dinette,0.082790315,bathroom,0.062591225
COCO_train2014_000000003877.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000003877.jpg,http://farm8.staticflickr.com/7191/6888135847_a5af931f6f_z.jpg,3877,living_room,living_room,0.31983817,bathroom,0.2342326,bedroom,0.104382925,kitchen,0.06089194,dining_room,0.06016715
COCO_train2014_000000003915.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000003915.jpg,http://farm8.staticflickr.com/7086/7237797710_a1f6d26573_z.jpg,3915,kitchen,bathroom,0.2731515,bedroom,0.2231716,living_room,0.14610124,dining_room,0.10504828,dinette,0.035912532
COCO_train2014_000000004463.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000004463.jpg,http://farm1.staticflickr.com/172/417226125_5e5454e8fa_z.jpg,4463,bedroom,bedroom,0.2705384,bathroom,0.12095752,living_room,0.107922815,hot_tub,0.03591474,street,0.028392347
COCO_train2014_000000004694.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000004694.jpg,http://farm5.staticflickr.com/4061/4410051909_3370e9e719_z.jpg,4694,bedroom,bedroom,0.2854089,art_school,0.15585874,living_room,0.10618006,hot_tub,0.083231755,bathroom,0.047404487
COCO_train2014_000000005028.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000005028.jpg,http://farm5.staticflickr.com/4090/4972457395_b259bb3a93_z.jpg,5028,living_room,living_room,0.33204287,bedroom,0.26937085,bathroom,0.17144245,hot_tub,0.057925016,kitchen,0.028166423
COCO_train2014_000000005115.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000005115.jpg,http://farm5.staticflickr.com/4025/4258152088_d3448e19ee_z.jpg,5115,living_room,living_room,0.52929103,bedroom,0.1771338,dining_room,0.038639814,bathroom,0.033896357,hot_tub,0.027851447
COCO_train2014_000000007539.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000007539.jpg,http://farm9.staticflickr.com/8375/8597245989_28539b6dab_z.jpg,7539,dinning_room,bathroom,0.41004115,bedroom,0.17919044,street,0.08465794,living_room,0.08052796,dining_room,0.024524694
COCO_train2014_000000008734.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000008734.jpg,http://farm4.staticflickr.com/3111/2601846483_bb56dab3a6_z.jpg,8734,dinning_room,bedroom,0.20824555,bathroom,0.13629532,street,0.11188949,living_room,0.09770582,dining_room,0.093581714
COCO_train2014_000000008856.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000008856.jpg,http://farm1.staticflickr.com/132/320328615_bf1d955729_z.jpg,8856,living_room,bedroom,0.14307882,bathroom,0.13601771,subway_interior,0.06251986,conference_room,0.058203436,hot_tub,0.050262377
COCO_train2014_000000009012.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000009012.jpg,http://farm9.staticflickr.com/8540/8810677261_9788b6b7a1_z.jpg,9012,dinning_room,bedroom,0.36644116,bathroom,0.10372612,hot_tub,0.09528688,dining_room,0.09429566,living_room,0.040966514
